OGF_ID,TRAIL_NAME,TRAIL_ASSOCIATION,TRAIL_ASSOCIATION_WEBSITE,PERMITTED_USES,DESCRIPTION,ON_ROAD_FLG,TRAIL_LENGTH_KM,LOCATION_ACCURACY,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPELEN
155164140,Bobolink Trail,Central Lake Ontario Conservation Authority,www.cloca.com,Hiking or Walking,"Established in 1972, the 272-hectare Lynde Shores Conservation Area, together with the adjacent Cranberry West Tract (40 hectares) is well known for its wildlife viewing opportunities, including both Lynde Creek Marsh and Cranberry Marsh. The Lynde Shores Conservation Area provides excellent habitat for nesting birds and acts as an important stopover point for waterfowl and shorebirds migrating along the north shore of Lake Ontario. In addition to their importance to wildlife, both Lynde Creek Marsh and Cranberry Marsh provide many other important functions that are typical of the few remaining coastal wetlands found along this northern section of the Lake Ontario shoreline. As a result, these two marshes are designated as provincially significant wetlands and are part of a long-term study, the Durham Region Coastal Wetland Monitoring Project. To help you get a closer look at this important area, Lynde Shores Conservation Area has a number of looping trails (5 km including the 1 km looping trail within the Cranberry West Tract). These trails are just the right length for little ones and are generally stroller and wheelchair friendly. Take a walk along the boardwalk to get a sense of what it feels like to be out in the middle of the Lynde Creek Marsh. Bring a camera, because you just never know what you might see!",No,0.600000023841858,Within 10 metres,2022/05/18 11:22:22+00,2022/05/18 22:39:25+00,81777,0
154614417,High Dunes Trail,Wasaga Beach Provincial Park,www.ontarioparks.com/park/wasagabeach,"Hiking or Walking, Cross Country Skiing",Difficult - Expert Skiers,No,4.5,Within 10 metres,2022/05/18 11:22:04+00,2022/05/18 22:39:25+00,81857,0
154757540,Algonquin Highlands Ridge Trail,Township of Algonquin Highlands,www.algonquinhighlands.ca,Hiking or Walking,,No,5.69999980926514,Within 10 metres,2022/05/18 11:22:15+00,2022/05/18 22:39:25+00,81889,0
155164123,Woodland Trail at Crawford Lake,Conservation Halton,www.conservationhalton.ca,Hiking or Walking,A hard-packed trail that easily accesses a crosssection of escarpment features including Crawford Lake's scenic woods and wetlands. Participate in a self-guided ?Moccasin Walk? as you enjoy the inspirational signs posted along the way. The Crawford Lake,No,1.5,Within 10 metres,2022/05/18 11:22:16+00,2022/05/18 22:39:25+00,81985,0
143660819,Port Town Tour Cycling Route,Silver Spokes Cycling Club,www.silverscc.net,Cycling,"From Port Dover to Fisher's Glen, this hilly, winding tour has views that will keep you riding just to see what is around the next corner.  This tour starts and ends in the town of Port Dover. There are many places to park in Port Dover and there is also an abundance of shops, cafes, restaurants, galleries, museums and theatres to check out. Alternatively you could start in the town of Simcoe and Port Dover could be your half-way point where you can take a break and do a bit of exploring.",Yes,57.2000007629395,Within 10 metres,2022/05/18 11:16:51+00,2022/05/18 22:39:25+00,82465,0
143666814,Manser Road Cycling Lane,Region of Waterloo,www.regionofwaterloo.ca,Cycling,n/a,Yes,10.8999996185303,Within 10 metres,2022/05/18 11:17:57+00,2022/05/18 22:39:25+00,83841,0
155164192,Port Elgin Rollerblading Loop,Municipality of Saugeen Shores,www.saugeenshores.ca,Hiking or Walking,Nodwell Park at the corner of Market and Highland Streets in Port Elgin boasts an oval shaped paved rollerblading/skating path.,No,0.600000023841858,Within 10 metres,2022/05/18 11:22:25+00,2022/05/18 22:39:25+00,84017,0
155164110,Ardagh West Creek Trail,City of Barrie,www.barrie.ca,Hiking or Walking,"Home to Barrie's south end, the Ardagh Bluffs Area is located between Ardagh Rd and Mapleview Dr, West of Essa Rd. It boasts over 17 kms of trails and has a total area of 524 acres. Most of the area is zoned Environmentally Protection (EP) and houses a variety of different species. Ardagh will be used for walking and hiking trails, and the City would like to remind users that the use of motorized vehicles within the Bluffs is prohibited and dogs must be on leash. As well due to limited parking facilities, users are asked to be aware of municipal parking by-laws on streets including no parking in front of mailboxes and fire hydrants. Please be respectful of the Bluffs and local residents, bring litterless lunches and snacks, and dispose of any litter in the proper waste receptors.",No,4.80000019073486,Within 10 metres,2022/05/18 11:22:17+00,2022/05/18 22:39:25+00,84049,0
155164105,Sunnidale Park Trails,City of Barrie,www.barrie.ca,Hiking or Walking,"East side of Sunnidale Rd, between Hwy 400 & Cundles Rd. W. Additional features include playground equipment, community centre, arboretum & gardens, and off-leash dog area.",No,7.30000019073486,Within 10 metres,2022/05/18 11:22:21+00,2022/05/18 22:39:25+00,84065,0
143659909,Brouwers Line,Catfish Creek Conservation Authority,www.catfishcreek.ca,"Hiking or Walking, Cycling, Equestrian",,Yes,4.40000009536743,Within 10 metres,2022/05/18 11:17:37+00,2022/05/18 22:39:25+00,84193,0
155164219,Brooklin Lions Trail,Town of Whitby,www.whitby.ca,Hiking or Walking,"An accessible, educational and ecologically balanced trail that will feature long-term monitoring of the biotic and abiotic components of the creek, its floodplain and the surrounding tablelands.  Guided tours were offered on four Saturdays in the Spring of 2001. If your group would like to go on a tour contact John Hulley to arrange one. You can also guide yourself using the Trail Guide available online. Park at the Brooklin Arena parking lot and walk around the tennis courts and skateboard area behind the arena to find the start of the path.  See the introduction page for a map. Give it a try! The trail is not strenuous at all and you can walk it in ordinary street shoes. We know you'll want to come back regularly for some easy, healthy exercise and appreciation of nature. Visit the website for printable self-guided tour information.",No,1.29999995231628,Within 10 metres,2022/05/18 11:22:11+00,2022/05/18 22:39:25+00,84225,0
143666941,Voyageur Trail - Hiawatha Loop Trail,Voyageur Trail Association,www.voyageurtrail.ca,Hiking or Walking,Yellow-blazed loop trail.,Yes,3.79999995231628,Within 10 metres,2022/05/18 11:18:31+00,2022/05/18 22:39:25+00,84833,0
155164193,Southampton Boardwalk,Municipality of Saugeen Shores,www.saugeenshores.ca,Hiking or Walking,"112 years ago, a group of community-minded locals and tourists banned together to put on an amateur production of the famous Gilbert and Sullivan HMS Pinafore. They had a goal of raising money to put a boardwalk on the beach of Lake Huron stretching from the end of High Street to as far as the money raised could take them. Like many of us today, who walk along beach to watch and gaze at one of Southampton's beautiful sunsets, they wanted a boardwalk, so all could enjoy unhampered by the sand. Thus, with their fundraising dollars in hand, as the Pinafore, was a roaring success, they were able to build a boardwalk out of local wood from the foot of High Street extending to the Pier. In 1906, it is noted, in a then local periodical called the Summer Citizen, that it was replaced by cement and stretched from High Street all the way to the Long Dock at the end of present day Beach St. Now the boardwalk, aptly named the Pinafore after the original fundraiser, remains a part of Southampton. Its form may have changed with the times, but it has silently witnessed newlyweds hands locked together walking down the beach dreaming of their futures; watched as kids run for the swing sets on the beach while their parents sit down exhausted on one of the now strategically placed benches; and the once young, elderly residents with fond memories of an easier time, walk with their young grandchildren all watching the brilliant sunset one more time, are forever encased in cement. The sun will continue to rise and set along the shores of Lake Huron bringing young and old, but the inconspicuous boardwalk which lays silent, was the dream and pride of a group of locals and tourists, whose community pride 112 years later, is the pride still held by locals who remember what a little community pride can achieve.",No,1.10000002384186,Within 10 metres,2022/05/18 11:22:19+00,2022/05/18 22:39:25+00,84881,0
155164120,Escarpment Trail at Crawford Lake,Conservation Halton,www.conservationhalton.ca,Hiking or Walking,"This natural trail winds through rocky woodlands and along the brow of the Niagara Escarpment. A highlight is the lookout where interpretive cairns and resting benches are located. Crawford Lake Conservation Area is a great place to bring kids as there always seems to be one program or another for them! The area is open all year round and you can rentsnowshoes in the winter. You can also hop on the cross-country ski trails in the snowier months. In the summer, it’s a beautiful place to grab a picnic lunch, take a walk through the Iroquois gardens and village and then get into some serious hiking. The Crawford Lake Conservation Area includes 19 km of spectacular hiking, cross-country skiing and snowshoeing trails on Ontario's scenic Niagara Escarpment. The popular Visitors Centre and newly renovated Gathering Place feature a variety of services to enhance the visitors park experience. A unique Gift Shop, exhibits, displays, lunchrooms and theatres are available along with picnic areas adjacent to each of the two program sites. Open all year long, this beautiful park hosts a variety of seasonal events for the public along with a series of fun and educational programs for groups of all ages. Come share in the discovery at Crawford Lake Conservation Area Directions: Take Guelph Line south from Highway 401 ornorth from the QEW and turn east at Steeles Avenue to Crawford Lake parking lot.",No,2.29999995231628,Within 10 metres,2022/05/18 11:22:16+00,2022/05/18 22:39:25+00,85073,0
155164157,Bill Holland Trail,Friends of Petrie Island,www.petrieisland.org,Hiking or Walking,"retrace your steps or take the Beach Loop. Various loops add 320 m (1,100 ft) for a total of 2.7 km (1 3/4 miles). This is the longest trail on Petrie, named for a local naturalist who did research here. It follows the gravel road behind the picnic area and continues along an old causeway, explaining the presence of rocks, which do not occur naturally anywhere on the island complex. Featured here are excellent views of the wetlands, quiet beaches lining the Ottawa River, evidence of beaver activity, and turtle nesting areas. Sections of the Beach Loop and main trail may be flooded in spring. Please exercise care in sandy areas, as they are prime real estate for turtle nests. The Beaver loop’s eastern bend goes through a rare stand of Hackberry trees.",No,1.20000004768372,Within 10 metres,2022/05/18 11:22:11+00,2022/05/18 22:39:25+00,85121,0
143662962,Lanark Link,County of Lanark,www.lanarkcounty.ca,"Hiking or Walking, Cycling, Cross Country Skiing, Equestrian","This 105.7 km section joins the Cataraqui and Glen Tay to Blairton Station trails to make for a scenic journey for multi-users in all seasons. In Lanark County it takes you through the historic communities of Carleton Place, Almonte, Lanark, Perth and Smiths Falls. There are multiple access points to this gravel trail.",Yes,105.699996948242,Within 10 metres,2022/05/18 11:21:37+00,2022/05/18 22:39:25+00,85393,0
143667254,Oxford Street,City of Brantford,www.brantford.ca,"Hiking or Walking, Cycling",Bike route for Oxford Street,Yes,0.5,Within 10 metres,2022/05/18 11:20:23+00,2022/05/18 22:39:25+00,85633,0
143661822,Bruce Trail - Credit Valley Footpath,Bruce Trail Conservancy,www.brucetrail.org,Hiking or Walking,,Yes,11.3999996185303,Within 10 metres,2022/05/18 11:19:34+00,2022/05/18 22:39:25+00,85889,0
143667147,Route I:  Flinton Road,County of Lennox and Addington,www.lennox-addington.on.ca,"Hiking or Walking, Cycling",Moderate Difficulty.  This route may be best suited for hybrid cyclists as it offers a combination of hard surface and dirt road. Take your time while riding and be sure to bring your camera because the scenery is fantastic along this route.,Yes,37,Within 10 metres,2022/05/18 11:20:34+00,2022/05/18 22:39:25+00,86145,0
155164201,Altona Forest Blue Trail,Toronto and Region Conservation Authority,www.trca.ca,Hiking or Walking,"The Altona Forest is an environmentally significant forest composed of mixed coniferous and deciduous trees, located in the southern portion of the Petticoat Creek Watershed. The diverse forest vegetation is very sensitive, containing several regionally",No,0.699999988079071,Within 10 metres,2022/05/18 11:22:22+00,2022/05/18 22:39:25+00,86273,0
155164217,Kilally Meadows,Upper Thames River Conservation Authority,www.thamesriver.on.ca,"Hiking or Walking, Cycling","Popular with birders, walkers, and all naturalists, the network of paths in this environmentally significant area is located in northeast London. The paths, which often follow either the Thames River or Meander Creek, have numerous neighbourhood access points. Bicycles are only permitted on the asphalt or crushed gravel paths. These paths are also part of the Thames Valley Trail and London’s Riverside Trail Network.",No,10.8000001907349,Within 10 metres,2022/05/18 11:22:26+00,2022/05/18 22:39:25+00,86641,0
153719259,Princess Point Trail,Royal Botanical Gardens,www.rbg.ca,Hiking or Walking,,No,0.600000023841858,Within 10 metres,2022/05/18 11:18:42+00,2022/05/18 22:39:25+00,87201,0
155259597,Connecting Trail,Central Lake Ontario Conservation Authority,www.cloca.com,"Hiking or Walking, Cycling, Cross Country Skiing","Nestled in the heart of the provincially significant Oak Ridges Moraine, Long Sault Conservation Area is the largest Area owned and managed by the Central Lake Ontario Conservation Authority. Once part of the Agreement Forest program operated by the Ontario Ministry of Natural Resources, Long Sault Conservation Area now includes close to 400 hectares of mature forest, plantation, wetland and meadow. The area is considered an important core wildlife area because of the diversity and size of habitats that it contains. This Conservation Area also includes headwater tributaries that are an important part of the Bowmanville/Soper Creek Watershed. Much of Long Sault Conservation Area's natural beauty can be seen from any section of the more than 18 km of marked trails that wind throughout the property. With trails that range in difficulty from gently sloping straight trails, to technical rolling and quickly turning trails, Long Sault Conservation Area is a favourite destination for many outdoor enthusiasts looking to pursue a number of different recreational activities.",No,1,Within 10 metres,2022/05/18 11:22:11+00,2022/05/18 22:39:25+00,87329,0
155831923,Shield Trail,Bon Echo Provincial Park,www.ontarioparks.com/park/bonecho,Hiking or Walking,"Follow a section of the old Addington Road as it crosses the rugged landscape of the Canadian Shield where you will see hardwood forests, cedar lowlands and a beaver swamp.",No,4.80000019073486,Within 10 metres,2022/05/18 11:22:12+00,2022/05/18 22:39:25+00,87377,0
143665529,Route L:  White Lake,County of Lennox and Addington,www.lennox-addington.on.ca,"Hiking or Walking, Cycling","Challenging Difficulty.  Rolling hills, lakes, and wetlands describe the landscape, with very few flat stretches to be found. This route offers frequent changes in terrain and never lets you go very long without testing your conditioning.",Yes,24,Within 10 metres,2022/05/18 11:17:04+00,2022/05/18 22:39:25+00,87393,0
143661072,Crooked Trail,Eastern Ontario Trails Alliance,www.thetrail.ca,"Hiking or Walking, Cycling, Snowshoeing, Equestrian, Snowmobiling, All-Terrain Vehicles (ATV)",,Yes,3.29999995231628,Within 10 metres,2022/05/18 11:21:41+00,2022/05/18 22:39:25+00,87569,0
143664158,Carolinian Tour Cycling Route,Silver Spokes Cycling Club,www.silverscc.net,Cycling,"Discover Norfolk County's coastline on your bike.  This trip can start and end in either Delhi or Port Rowan; there are plenty of areas to park in both towns. As well Port Rowan is in the midst of a big waterfront regeneration project, set to be completed spring 2013. If you start in Delhi, Port Rowan is a great halfway point to stop for a break and a great view. In Delhi, you can park your car near the Belgian Hall and start by heading west on William Street.",Yes,135.199996948242,Within 10 metres,2022/05/18 11:15:23+00,2022/05/18 22:39:25+00,87729,0
154614403,Wetland 'Storey' Trail,John E. Pearce Provincial Park ,www.ontarioparks.com/park/johnepearce,Hiking or Walking,This trail meanders through a significant wetland restoration area where visitors can enjoy the landscape from a viewing platform. This trail showcases 3 new wetlands surrounded by tall grass prairie and offers 15 informative interpretive panels along the way.,No,1.5,Within 10 metres,2022/05/18 11:22:06+00,2022/05/18 22:39:25+00,87969,0
143660986,Pigeon River Trail,La Verendrye Provincial Park,www.ontarioparks.com/park/laverendrye,"Hiking or Walking, Snowshoeing",,Yes,5,Within 10 metres,2022/05/18 11:17:41+00,2022/05/18 22:39:25+00,88673,0
171898042,Bain Park Trail to ARM,City of Quinte West,www.quintewest.ca,Hiking or Walking,The Afghanistan Repatriation Memorial is inscribed with the names of the 158 soldiers who have died in Afghanistan. The memorial is close to 8 Wing/CFB Trenton where repatriation ceremonies were held for those who died on the mission and its location marks the beginning of the Highway of Heroes – the path that extends from Quinte West to Toronto.,No,0.100000001490116,Within 10 metres,2022/05/18 11:22:34+00,2022/05/18 22:39:25+00,88785,0
155164190,Jane Goodall Reclamation Trail,Rainbow Routes Association,www.rainbowroutes.com,Hiking or Walking,"This trail, named in honour of the internationally renowned scientist and environmentalist, Jane Goodall, is located at the Coniston Welcome Centre. This trail is part of the Greater Sudbury Trail system known as Rainbow Routes. The mission of the Rainbow Routes is to develop and preserve trail for the betterment of the people of the City of Sudbury, and the enjoyment of visitors and nature lovers alike.As you walk along this 1 km trail, you will encounter projects dating from 1979 which were initiated to heal the landscape. In 1978, this site was totally bare of vegetation. Logging, followed by the smelting of nickel/copper ore, which produced noxious emissions of sulphur dioxide, depleted the vegetation and allowed soil erosion to occur. Through the efforts of the Sudbury Land Reclamation Program, this site has been transformed into a startlingly beautiful trail.",No,0.699999988079071,Within 10 metres,2022/05/18 11:22:13+00,2022/05/18 22:39:25+00,88817,0
143660157,Homer Watson Trail,City of Kitchener,www.kitchener.ca,Hiking or Walking,"Homer Watson Park has always attracted a solid core of artists and if you visit the Homer Watson House you'll be able to investigate cabins that were once used as a retreat for artists. It is most spectacular in the fall months when a variety of colors surround Grand River.  A lookout area commonly photographed and painted starts off the trail before it proceeds into one of the oldest climax forests in the region. In this area there are large maple and beech trees, some of which are over century old. Please note that trail is linear, and therefore a roundtrip is 5.8km.",Yes,10.8999996185303,Within 10 metres,2022/05/18 11:16:54+00,2022/05/18 22:39:25+00,89057,0
154757537,Log Chute Trail,Township of Algonquin Highlands,www.algonquinhighlands.ca,Hiking or Walking,,No,0.400000005960464,Within 10 metres,2022/05/18 11:22:14+00,2022/05/18 22:39:25+00,89169,0
143665896,Courtland Urban Walking Trails,Haldimand-Norfolk Health Unit,www.hnhu.org,Hiking or Walking,Located on Hwy #3 between Delhi and Tillsonburg. Enjoy a leisurely walk and discover the back streets of Courtland. These routes follow sidewalks where possible. Take caution when walking along or crossing busy streets. Both routes are relatively flat. Stopping at the local bakery is a must when passing through Courtland. There are also antique shops along the route.,Yes,12.3999996185303,Within 10 metres,2022/05/18 11:21:03+00,2022/05/18 22:39:25+00,89313,0
143664586,City of Windsor Signed Bike Routes,City of Windsor,www.citywindsor.ca,Cycling,These routes are indicated only by a bicycle route sign.  Motorists are expected to watch for cyclists and share the same roadway lane with them.,Yes,29.2999992370605,Within 10 metres,2022/05/18 11:16:41+00,2022/05/18 22:39:25+00,89985,0
143661216,City of Windsor Bike Lanes,City of Windsor,www.citywindsor.ca,Cycling,A bike lane is a dedicated portion of road surface for bicycle use only.  These lanes are indicated by pavement markings that separate the portion of road used by motor vehicles from that portion used by cyclists.,Yes,43.7000007629395,Within 10 metres,2022/05/18 11:18:07+00,2022/05/18 22:39:25+00,90001,0
143661091,Barton Trail,Township of Uxbridge,www.uxbridge.ca,"Hiking or Walking, Cycling","The Barton Trail is a 2 km  loop circling around the Barton Farms development, and passing through some older neighbouring streets.  The paths are all paved, with the exception of the section around the pond.  There is a connection to the Trans-Canada Trail.",Yes,2,Within 10 metres,2022/05/18 11:21:41+00,2022/05/18 22:39:25+00,90321,0
155164136,Wild Turkey Trail,Central Lake Ontario Conservation Authority,www.cloca.com,"Hiking or Walking, Cycling, Cross Country Skiing","Nestled in the heart of the provincially significant Oak Ridges Moraine, Long Sault Conservation Area is the largest Area owned and managed by the Central Lake Ontario Conservation Authority. Once part of the Agreement Forest program operated by the Ontario Ministry of Natural Resources, Long Sault Conservation Area now includes close to 400 hectares of mature forest, plantation, wetland and meadow. The area is considered an important core wildlife area because of the diversity and size of habitats that it contains. This Conservation Area also includes headwater tributaries that are an important part of the Bowmanville/Soper Creek Watershed. Much of Long Sault Conservation Area's natural beauty can be seen from any section of the more than 18 km of marked trails that wind throughout the property. With trails that range in difficulty from gently sloping straight trails, to technical rolling and quickly turning trails, Long Sault Conservation Area is a favourite destination for many outdoor enthusiasts looking to pursue a number of different recreational activities.",No,3.20000004768372,Within 10 metres,2022/05/18 11:22:21+00,2022/05/18 22:39:25+00,90641,0
154757541,Alven Ferguson Trail,Township of Algonquin Highlands,www.algonquinhighlands.ca,Hiking or Walking,,No,0.800000011920929,Within 10 metres,2022/05/18 11:22:15+00,2022/05/18 22:39:25+00,90673,0
155164160,Muskrat Trail,Friends of Petrie Island,www.petrieisland.org,"Hiking or Walking, Snowshoeing","This 15-minute walk starts at the parking lot nearest the picnic area and brings you to a point of land centrally located among four bodies of water separating the various islands. A good spot for seeing water birds, this trail also features an amphibian observation pond with footbridge and display",No,0.300000011920929,Within 10 metres,2022/05/18 11:22:23+00,2022/05/18 22:39:25+00,90817,0
143664514,Eden Mills Historic Walking Tour,Township of Guelph/Eramosa,www.get.on.ca,Hiking or Walking,"Walking Trails; Historic homes; Large Mill Pond. Parking at Eden Mills Community Centre, 108 York St. Please repect private property.",Yes,1.20000004768372,Within 10 metres,2022/05/18 11:18:22+00,2022/05/18 22:39:25+00,90945,0
155736533,Beaver Pond Loop,Driftwood Provincial Park,www.ontarioparks.com/park/driftwood,"Hiking or Walking, Snowshoeing",This trail climbs steeply to a lookout with a panoramic view of the Ottawa River.,No,2.5,Within 10 metres,2022/05/18 11:22:26+00,2022/05/18 22:39:25+00,91057,0
155164129,Brook Trout Trail,Central Lake Ontario Conservation Authority,www.cloca.com,Hiking or Walking,"A quiet walk with plenty of nature to view through a mixed and wet cedar forest. Host to two life filled ponds and on a sunny day turtles may be seen sun bathing. Cedar swamp, open wetlands and bubbling brooks – everything you would expect to find on the south slopes of the provincially significant Oak Ridges Moraine. The 65-hectare Enniskillen Conservation Area is located only a stone’s throw away from the small village of Enniskillen and offers a small network of trails through beautiful coniferous forest. The 3 km trail network includes numerous sections of boardwalk that cross an upper portion of the Bowmanville Creek five times. By combining a hike with a nice picnic with family and friends at one of the group picnicking areas, Enniskillen Conservation Area can make for a great day out. The area is known for its local history including the Moorey Grist Mill (built just north of the Education Centre in 1874 and dismantled in 1956) that used to take advantage of the constant supply of water that continues to run through the property today. Although the mill no longer exists, you can still see the earthen dam, which held back the creek water to produce the millpond.",No,0.600000023841858,Within 10 metres,2022/05/18 11:22:21+00,2022/05/18 22:39:25+00,91105,0
